[Id: ny6lH0CPHZ5TCXNj6B8Oz0gcYxfB940D] 2023/05/23 17:30:09 logger.go:23:  Time: 2023-05-23T17:30:09+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 24.0238ms Bytes_in: 0 Bytes_out: 0

[Id: m645rpaYHMc6kwCPg70VNHoVrl5mNlA2] 2023/05/23 17:30:09 logger.go:23:  Time: 2023-05-23T17:30:09+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 345.6478ms Bytes_in: 0 Bytes_out: 39

[Id: 8pZrkUyIrBadHu3C8fxkXhnKhSUUE47M] 2023/05/23 17:30:15 logger.go:23:  Time: 2023-05-23T17:30:15+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 7.2663ms Bytes_in: 0 Bytes_out: 0

[Id: ybPfZyJwtm1KAwbcZsJq06Y5BBJvoEJ8] 2023/05/23 17:30:15 logger.go:23:  Time: 2023-05-23T17:30:15+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 136.9694ms Bytes_in: 0 Bytes_out: 39

[Id: 1qMs6GOPrkx8OSJj3IFa7jvQrPN7KrYK] 2023/05/23 17:31:33 logger.go:23:  Time: 2023-05-23T17:31:33+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 12.9052ms Bytes_in: 0 Bytes_out: 0

[Id: NmXa98BNMaudRWo2GEBc8fGqJZnBk7wv] 2023/05/23 17:31:34 logger.go:23:  Time: 2023-05-23T17:31:34+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 317.9413ms Bytes_in: 0 Bytes_out: 39

[Id: SKSMesDlQSW4MPHAnkyZib6KhMj3a7f4] 2023/05/23 17:31:44 logger.go:23:  Time: 2023-05-23T17:31:44+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 204 Latency: 14.0015ms Bytes_in: 0 Bytes_out: 0

[Id: YAzisQnOT0eDkGnqOAVbzy8PI4P4lMkp] 2023/05/23 17:31:45 logger.go:23:  Time: 2023-05-23T17:31:45+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 138.933ms Bytes_in: 0 Bytes_out: 90

[Id: cHIVvLsgsueTDRZZBaUK9YyCIG5VXIQu] 2023/05/23 17:31:48 logger.go:23:  Time: 2023-05-23T17:31:48+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 204 Latency: 10.0629ms Bytes_in: 0 Bytes_out: 0

[Id: OygyDZMUju5c4mFapH3a3y3KjqK858S6] 2023/05/23 17:31:48 logger.go:23:  Time: 2023-05-23T17:31:48+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 142.5263ms Bytes_in: 0 Bytes_out: 90

[Id: neaVnezW1kYQ1eyYj7yq2aG1IuiZhZkO] 2023/05/23 17:33:55 logger.go:23:  Time: 2023-05-23T17:33:55+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 204 Latency: 28.0184ms Bytes_in: 0 Bytes_out: 0

[Id: drlSxfm0IB4aFe4bKyEbLY32zyI7YZLy] 2023/05/23 17:33:55 logger.go:23:  Time: 2023-05-23T17:33:55+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 156.7555ms Bytes_in: 0 Bytes_out: 90

[Id: hgwKDiPubIzX4dSXSy6ZcQOZTodHrR5u] 2023/05/23 17:34:28 logger.go:23:  Time: 2023-05-23T17:34:28+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 34.0607ms Bytes_in: 0 Bytes_out: 0

